budget,workload,scalability,security,region,team_size,data_volume_gb,uptime_requirement,compliance_required,existing_infra,uses_microsoft_stack,uses_google_workspace,ml_focus,multi_region,serverless_preference,service_model,deployment_model,provider
167.67,webapp,high,moderate,us,215,1356.26,95.29,1,1,0,1,0,0,1,IaaS,Public Cloud,AWS
252.61,webapp,medium,high,asia,364,2538.25,95.23,1,1,0,0,0,0,1,IaaS,Hybrid Cloud,AWS
69.37,webapp,medium,moderate,eu,484,11.41,97.98,1,0,0,0,0,0,1,PaaS,Public Cloud,Azure
179.82,startup,high,high,asia,139,141.81,98.94,1,1,0,1,0,1,1,IaaS,Public Cloud,GCP
1892.95,webapp,high,high,us,359,90.67,95.2,1,1,0,0,0,1,1,IaaS,Hybrid Cloud,AWS
6793.58,enterprise,medium,basic,us,134,5.91,97.08,0,1,0,0,0,0,0,IaaS,Hybrid Cloud,AWS
319.0,webapp,medium,basic,asia,472,23.23,98.51,0,0,0,1,0,0,1,PaaS,Public Cloud,GCP
446.55,startup,high,moderate,eu,198,339.36,98.98,0,0,0,1,0,1,1,PaaS,Public Cloud,GCP
357.43,webapp,high,moderate,us,252,125.74,95.87,1,0,0,0,0,1,1,PaaS,Public Cloud,AWS
2376.25,enterprise,high,high,eu,227,127.78,99.86,1,0,0,0,0,1,0,IaaS,Hybrid Cloud,Azure
1086.6,webapp,medium,moderate,eu,283,38.12,97.17,0,1,0,1,0,0,1,PaaS,Hybrid Cloud,GCP
85.64,webapp,high,basic,us,469,21.89,97.42,0,0,0,0,0,1,1,PaaS,Public Cloud,AWS
94.95,startup,medium,basic,us,264,114.72,98.5,0,1,0,1,0,0,1,PaaS,Public Cloud,GCP
260.91,startup,high,moderate,us,481,24.24,99.82,0,1,0,0,0,1,1,PaaS,Public Cloud,AWS
283.46,startup,high,moderate,eu,189,129.91,98.68,0,1,0,0,0,0,1,PaaS,Public Cloud,GCP
160.29,webapp,medium,moderate,eu,180,474.33,97.51,1,1,0,0,0,0,1,IaaS,Hybrid Cloud,Azure
773.78,webapp,medium,high,asia,43,267.99,95.98,1,0,0,0,0,0,1,IaaS,Private Cloud,AWS
5331.11,enterprise,medium,basic,us,408,3.74,98.87,0,0,1,0,0,0,0,SaaS,Public Cloud,Azure
659.68,webapp,low,high,us,384,44.92,97.41,1,0,0,0,0,0,1,IaaS,Private Cloud,AWS
630.67,startup,medium,high,eu,5,5.09,97.9,1,1,0,1,0,0,1,IaaS,Hybrid Cloud,Azure
241.09,startup,medium,moderate,us,58,35.41,98.7,1,1,0,1,0,0,1,PaaS,Public Cloud,GCP
699.43,webapp,low,high,us,164,111.1,97.61,1,1,0,1,0,0,1,IaaS,Private Cloud,GCP
670.2,webapp,medium,moderate,us,417,910.74,97.05,1,0,0,0,0,0,1,IaaS,Public Cloud,AWS
12533.79,enterprise,medium,basic,us,99,75.79,97.67,0,1,1,0,0,0,0,IaaS,Hybrid Cloud,Azure
126.18,startup,high,high,eu,154,34.61,97.49,1,0,0,1,0,0,1,IaaS,Public Cloud,GCP
611.75,webapp,medium,basic,eu,308,2.6,99.54,0,0,0,1,0,0,1,PaaS,Public Cloud,GCP
685.36,webapp,medium,moderate,asia,360,13.33,98.48,0,1,0,1,0,0,1,PaaS,Public Cloud,GCP
4978.79,enterprise,low,basic,asia,73,51.29,98.43,0,0,0,0,0,0,0,SaaS,Public Cloud,AWS
250.36,startup,low,basic,asia,239,233.44,95.15,0,1,0,0,0,0,1,PaaS,Public Cloud,GCP
168.35,webapp,medium,moderate,eu,111,569.19,97.78,0,0,0,0,0,0,1,PaaS,Public Cloud,AWS
514.74,webapp,high,basic,eu,40,15.7,98.48,0,1,0,1,0,1,1,PaaS,Public Cloud,GCP
5645.55,enterprise,medium,moderate,eu,320,55.67,99.65,0,0,0,0,0,0,0,IaaS,Hybrid Cloud,AWS
688.17,webapp,high,basic,us,137,22.07,96.02,0,0,0,1,0,1,1,PaaS,Public Cloud,AWS
540.62,enterprise,medium,moderate,asia,125,264.38,97.51,0,1,0,0,0,0,0,IaaS,Hybrid Cloud,AWS
6823.68,enterprise,medium,moderate,asia,411,248.35,98.71,0,0,1,0,0,0,0,IaaS,Hybrid Cloud,Azure
1221.39,webapp,medium,basic,asia,254,70.52,97.0,0,0,0,1,0,0,1,PaaS,Public Cloud,GCP
